"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","5553230","True"
"SampleNumber","Reset","MISO","SCK","MOSI","SPI Example","MISO","SCK","MOSI","MOSI","SCK"
"0","1","1","1","1","","1","1","","1","1"
"5553230","1","1","0","1","FFh","1","0","ACh","1","0"
"5566261","1","1","0","0","","1","0","","0","0"
"5566411","1","1","1","0","","1","1","","0","1"
"5579693","1","1","0","0","","1","0","","0","0"
"5592874","1","1","1","0","","1","1","","0","1"
"5593007","1","1","1","1","","1","1","","1","1"
"5606223","1","1","0","1","","1","0","","1","0"
"5619255","1","1","0","0","","1","0","","0","0"
"5619404","1","1","1","0","","1","1","","0","1"
"5632686","1","1","0","0","","1","0","","0","0"
"5645867","1","1","1","0","","1","1","","0","1"
"5646000","1","1","1","1","","1","1","","1","1"
"5659217","1","1","0","1","","1","0","","1","0"
"5672248","1","1","0","0","","1","0","","0","0"
"5672397","1","1","1","0","","1","1","","0","1"
"5672531","1","1","1","1","","1","1","","1","1"
"5685747","1","1","0","1","","1","0","","1","0"
"5698778","1","1","0","0","","1","0","","0","0"
"5698927","1","1","1","0","","1","1","","0","1"
"5712210","1","1","0","0","","1","0","","0","0"
"5725391","1","1","1","0","","1","1","","0","1"
"5738673","1","1","0","0","","1","0","","0","0"
"5752712","1","1","1","0","","1","1","","0","1"
"5765995","1","1","0","0","FFh","1","0","53h","0","0"
"5779176","1","1","1","0","","1","1","","0","1"
"5779309","1","1","1","1","","1","1","","1","1"
"5792525","1","1","0","1","","1","0","","1","0"
"5805556","1","1","0","0","","1","0","","0","0"
"5805706","1","1","1","0","","1","1","","0","1"
"5818988","1","1","0","0","","1","0","","0","0"
"5832169","1","1","1","0","","1","1","","0","1"
"5832302","1","1","1","1","","1","1","","1","1"
"5845518","1","1","0","1","","1","0","","1","0"
"5858549","1","1","0","0","","1","0","","0","0"
"5858699","1","1","1","0","","1","1","","0","1"
"5871981","1","1","0","0","","1","0","","0","0"
"5885162","1","1","1","0","","1","1","","0","1"
"5898445","1","1","0","0","","1","0","","0","0"
"5911625","1","1","1","0","","1","1","","0","1"
"5911759","1","1","1","1","","1","1","","1","1"
"5924975","1","1","0","1","","1","0","","1","0"
"5938006","1","1","0","0","","1","0","","0","0"
"5938155","1","1","1","0","","1","1","","0","1"
"5938289","1","1","1","1","","1","1","","1","1"
"5951505","1","1","0","1","","1","0","","1","0"
"5951548","1","0","0","1","","0","0","","1","0"
"5964536","1","0","0","0","","0","0","","0","0"
"5965544","1","0","1","0","","0","1","","0","1"
"5978793","1","0","0","0","53h","0","0","00h","0","0"
"5991974","1","0","1","0","","0","1","","0","1"
